Type;Metal;CN1;CN2;CN3;CN4;CN5;CN6;CN7;CN8;G;R;S;L-1;A-2;L-2;TP-3;TPY-3;TS-3;SP-4;SS-4;T-4;vTBPY-4;PP-5;SPY-5;TBPY-5;HP-6;OC-6;PPY-6;TPR-6;COC-7;CTPR-7;HP-7;HPY-7;PBPY-7;BTPR-8;CU-8;ETBPY-8;HBPY-8;HPY-8;OP-8;SAPR-8;TDD-8;[];[2];[3];[4];[2,2];[5];[2,3];[6];[3,3];[2,2,2];[2,4];[7];[2,5];[3, 4];[2,2,3];[8];[4,4];[2,2,2,2];[2,6];[2,3,3];[3,5];[2,2,4]
r;Pt;0;0.002334428;0.007694968;0.820508387;0.025332872;0.144129345;0;0;0.967490922;0.017464984;0.015044095;0;0.001296905;0.001037524;0;0;0.007694968;0.818087498;0.000259381;0.001556286;0.000605222;0;0.023257825;0.002075048;0;0.144129345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285319039;0.347311084;0.14023863;0.03562165;0.162631852;0.010721079;0.008473111;0.007349127;0.000432302;0.000864603;0.001037524;0;0;0;0;0;0;0;0;0;0;0
r;Re;0;0.000622471;0.000311236;0.057889823;0.112978525;0.820417056;0.005291005;0.002489885;0.729380641;0.132741986;0.137877373;0;0.000622471;0;0;0;0.000311236;0.000311236;0.000933707;0.056022409;0.000622471;0;0.082321818;0.030656707;0;0.816370993;0;0.004046063;0.001244942;0.000622471;0;0;0.003423592;0.000622471;0;0;0;0;0;0.000155618;0.001711796;0.271553066;0.367413632;0.225334578;0.042639278;0.046685341;0.019607843;0.016651105;0.000311236;0.00280112;0.00638033;0.000155618;0;0;0;0.000311236;0;0;0.000155618;0;0;0;0
r;Rh;0;0.000563063;0.002533784;0.397522523;0.102477477;0.496903153;0;0;0.861204955;0.069538288;0.069256757;0;0.000563063;0;0;0;0.002533784;0.393862613;0.001126126;0.000563063;0.001970721;0;0.086711712;0.015765766;0;0.496903153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.168637387;0.237331081;0.155405405;0.067849099;0.105855856;0.195664414;0.029279279;0.007882883;0.005912162;0.022804054;0.003378378;0;0;0;0;0;0;0;0;0;0;0
r;Ru;0;0;0;0.008076457;0.117512451;0.873065015;0.001211469;0.000134608;0.728765648;0.140934177;0.130300175;0;0;0;0;0;0;0.004307444;0.000403823;0.002557545;0.000807646;0;0.100282676;0.017229775;0;0.8727958;0;0.000269215;0.000403823;0;0;0;0.000807646;0;0;0;0;0;0;0.000134608;0;0.162740611;0.191412034;0.160856104;0.09664827;0.120877642;0.089648674;0.054516086;0.007134204;0.01749899;0.090321712;0.008345672;0;0;0;0;0;0;0;0;0;0;0
g;Sb;0.000942211;0.00879397;0.001570352;0.273869347;0.197550251;0.515389447;0.001884422;0;0.922424623;0.037688442;0.039886935;0.000942211;0.008479899;0.00031407;0;0;0.001570352;0;0.069723618;0.198492462;0.005653266;0;0.030150754;0.167399497;0;0.501570352;0.013819095;0;0;0;0;0;0.001884422;0;0;0;0;0;0;0;0;0.721733668;0.143530151;0.054334171;0.021356784;0.023555276;0.016959799;0.005967337;0.002512563;0;0.00910804;0.000942211;0;0;0;0;0;0;0;0;0;0;0
r;Sc;0.122743682;0;0;0.137184116;0.310469314;0.267148014;0.119133574;0.0433213;0.761732852;0.126353791;0.111913357;0.122743682;0;0;0;0;0;0;0;0.122743682;0.014440433;0;0.126353791;0.184115523;0;0.259927798;0;0.007220217;0.003610108;0.046931408;0;0;0.068592058;0.007220217;0;0;0;0;0;0.003610108;0.032490975;0.267148014;0.21299639;0.205776173;0.064981949;0.068592058;0.025270758;0.0433213;0.003610108;0;0.083032491;0;0;0;0;0;0;0;0.018050542;0;0;0;0.007220217
b;Sm;0;0.006944444;0;0.045138889;0.173611111;0.173611111;0.1875;0.413194444;0.635416667;0.1875;0.177083333;0;0.003472222;0.003472222;0;0;0;0;0;0.038194444;0.006944444;0;0.111111111;0.0625;0;0.145833333;0;0.027777778;0.052083333;0.020833333;0;0;0.114583333;0.041666667;0.013888889;0;0.010416667;0;0;0.15625;0.190972222;0.34375;0.107638889;0.055555556;0.045138889;0.076388889;0.003472222;0.006944444;0.006944444;0.013888889;0.09375;0.006944444;0.006944444;0.027777778;0;0;0.006944444;0.024305556;0.145833333;0.006944444;0.003472222;0;0.017361111
g;Sn;0.000597943;0.015666109;0.000119589;0.433987084;0.300645779;0.212389381;0.033365224;0.003228893;0.919038508;0.039344654;0.041616838;0.000597943;0.015187754;0.000478354;0;0;0.000119589;0.000717532;0.011121741;0.385314518;0.036833293;0;0.014470222;0.286175556;0;0.212150203;0.000239177;0;0.000478354;0.000119589;0;0;0.032767281;0.00083712;0;0;0.00083712;0;0;0.000239177;0.001315475;0.441999522;0.244080364;0.135852667;0.041975604;0.048194212;0.063381966;0.010882564;0.001793829;0.003707247;0.005022722;0.000239177;0.000478354;0;0;0;0;0.000956709;0.000597943;0;0;0;0.00083712
r;Ta;0;0;0;0.078717201;0.275510204;0.494169096;0.112244898;0.039358601;0.868804665;0.072886297;0.058309038;0;0;0;0;0;0;0;0;0.077259475;0.001457726;0;0.083090379;0.192419825;0;0.488338192;0;0.005830904;0.018950437;0.018950437;0;0;0.074344023;0;0;0;0;0;0;0.011661808;0.027696793;0.418367347;0.265306122;0.137026239;0.051020408;0.064139942;0.002915452;0.026239067;0;0.002915452;0.020408163;0.002915452;0;0;0;0;0;0;0.008746356;0;0;0;0
b;Tb;0;0;0;0.006116208;0.003058104;0.06116208;0.149847095;0.779816514;0.370030581;0.305810398;0.324159021;0;0;0;0;0;0;0;0;0.003058104;0.003058104;0;0;0.003058104;0;0.058103976;0;0.003058104;0.073394495;0.042813456;0;0;0.033639144;0.100917431;0.006116208;0;0.006116208;0;0;0.376146789;0.290519878;0.159021407;0.04587156;0.006116208;0.024464832;0.042813456;0.01529052;0.006116208;0.033639144;0.009174312;0.168195719;0.027522936;0.03058104;0.027522936;0.012232416;0.027522936;0.039755352;0.042813456;0.211009174;0.01529052;0.006116208;0;0.048929664
r;Tc;0;0;0;0.084645669;0.346456693;0.557086614;0.011811024;0;0.716535433;0.163385827;0.12007874;0;0;0;0;0;0;0;0;0.076771654;0.007874016;0;0.275590551;0.070866142;0;0.55511811;0;0.001968504;0.003937008;0;0;0;0.007874016;0;0;0;0;0;0;0;0;0.318897638;0.114173228;0.165354331;0.17519685;0.12992126;0.025590551;0.029527559;0;0;0.041338583;0;0;0;0;0;0;0;0;0;0;0;0
