Type;Metal;CN1;CN2;CN3;CN4;CN5;CN6;CN7;CN8;G;R;S;L-1;A-2;L-2;TP-3;TPY-3;TS-3;SP-4;SS-4;T-4;vTBPY-4;PP-5;SPY-5;TBPY-5;HP-6;OC-6;PPY-6;TPR-6;COC-7;CTPR-7;HP-7;HPY-7;PBPY-7;BTPR-8;CU-8;ETBPY-8;HBPY-8;HPY-8;OP-8;SAPR-8;TDD-8;[];[2];[3];[4];[2,2];[5];[2,3];[6];[3,3];[2,2,2];[2,4];[7];[2,5];[3, 4];[2,2,3];[8];[4,4];[2,2,2,2];[2,6];[2,3,3];[3,5];[2,2,4]
b;Er;0;0;0;0;0.068656716;0.134328358;0.179104478;0.617910448;0.462686567;0.265671642;0.271641791;0;0;0;0;0;0;0;0;0;0;0;0.047761194;0.020895522;0;0.12238806;0;0.011940299;0.065671642;0.03880597;0;0;0.074626866;0.095522388;0.002985075;0;0.002985075;0;0;0.286567164;0.229850746;0.223880597;0.032835821;0.044776119;0.062686567;0.089552239;0.017910448;0.008955224;0.026865672;0.011940299;0.140298507;0;0.017910448;0.005970149;0.029850746;0.023880597;0.017910448;0.032835821;0.146268657;0.03880597;0.005970149;0;0.020895522
b;Eu;0;0;0;0.008152174;0.008152174;0.0625;0.086956522;0.83423913;0.320652174;0.375;0.304347826;0;0;0;0;0;0;0;0;0.005434783;0.002717391;0;0.005434783;0.002717391;0;0.057065217;0.005434783;0;0.029891304;0.016304348;0;0;0.04076087;0.116847826;0.005434783;0;0;0;0;0.41576087;0.296195652;0.130434783;0.035326087;0.02173913;0.029891304;0.078804348;0.013586957;0;0.02173913;0.019021739;0.1875;0.016304348;0.005434783;0.002717391;0;0.013586957;0.019021739;0.048913043;0.307065217;0.02173913;0.008152174;0;0.019021739
r;Fe;0;0.002601186;0.001144522;0.188950161;0.193320154;0.599937572;0.013734263;0.000312142;0.754864218;0.124024555;0.121111227;0;0.001352617;0.001248569;0;0;0.001144522;0.008115701;0.001352617;0.168660909;0.010820934;0;0.107481011;0.085839143;0;0.598064718;0;0.001872854;0;0.001352617;0;0;0.012381646;0;0;0;0;0;0;0.000104047;0.000208095;0.195609198;0.100926022;0.13401311;0.178441369;0.088232234;0.088336281;0.018936635;0.061596088;0.053792529;0.051919675;0.026011861;0.001456664;0;0;0.00041619;0;0.000312142;0;0;0;0;0
g;Ga;0.002538071;0.010469543;0.00285533;0.827728426;0.078997462;0.077411168;0;0;0.916560914;0.045050761;0.038388325;0.002538071;0.006027919;0.004441624;0;0;0.00285533;0;0.013324873;0.756979695;0.057423858;0;0.019670051;0.059327411;0;0.077411168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32963198;0.413388325;0.133883249;0.039022843;0.026332487;0.006345178;0.002220812;0.019035533;0.006979695;0.019670051;0.003489848;0;0;0;0;0;0;0;0;0;0;0
b;Gd;0.003134796;0;0;0.006269592;0.018808777;0.072100313;0.115987461;0.78369906;0.326018809;0.338557994;0.335423197;0.003134796;0;0;0;0;0;0;0;0;0.006269592;0;0.009404389;0.009404389;0;0.062695925;0;0.009404389;0.034482759;0.021943574;0;0;0.059561129;0.115987461;0.012539185;0;0;0;0;0.326018809;0.329153605;0.200626959;0.028213166;0.028213166;0.009404389;0.056426332;0.012539185;0.006269592;0.031347962;0.003134796;0.163009404;0.012539185;0.034482759;0.037617555;0.006269592;0.053291536;0.047021944;0.040752351;0.144200627;0.02507837;0.018808777;0;0.040752351
g;Ge;0.000766284;0.076628352;0.000383142;0.778544061;0.085440613;0.057854406;0;0.000383142;0.931800766;0.030651341;0.037547893;0.000766284;0.073563218;0.003065134;0;0;0.000383142;0;0.016091954;0.735249042;0.027203065;0;0.011494253;0.07394636;0;0.057854406;0;0;0;0;0;0;0;0;0.000383142;0;0;0;0;0;0;0.443295019;0.368199234;0.066666667;0.04559387;0.05440613;0.003448276;0.006130268;0.001149425;0.004980843;0.005747126;0;0;0;0;0;0.000383142;0;0;0;0;0;0
r;Hf;0;0;0;0.101538462;0.289230769;0.36;0.101538462;0.147692308;0.652307692;0.203076923;0.144615385;0;0;0;0;0;0;0;0;0.095384615;0.006153846;0;0.104615385;0.184615385;0;0.310769231;0;0.049230769;0.030769231;0.033846154;0;0;0.036923077;0.003076923;0;0;0;0;0;0.067692308;0.076923077;0.178461538;0.227692308;0.129230769;0.153846154;0.086153846;0.012307692;0.012307692;0.006153846;0.003076923;0.04;0.030769231;0;0;0.006153846;0;0.006153846;0.003076923;0.083076923;0;0;0;0.021538462
r;Hg;0;0.511555033;0.12573443;0.329808069;0.01488445;0.005875441;0.001566784;0.010575793;0.980806894;0.007833921;0.011359185;0;0.170779475;0.340775558;0;0;0.12573443;0.01488445;0.080689385;0.174696436;0.059537799;0;0.005483745;0.009400705;0;0.004700353;0.000391696;0.000783392;0;0.000783392;0;0;0.000783392;0;0.001175088;0;0.009400705;0;0;0;0;0.556600078;0.31884058;0.062279671;0.028202115;0.018409714;0.002741872;0;0.010575793;0.001566784;0.000391696;0;0;0;0;0;0;0.000391696;0;0;0;0;0
b;Ho;0;0;0;0.014492754;0;0.050724638;0.195652174;0.739130435;0.449275362;0.246376812;0.304347826;0;0;0;0;0;0;0;0;0.014492754;0;0;0;0;0;0.043478261;0;0.007246377;0.028985507;0.065217391;0;0;0.101449275;0.065217391;0;0;0;0;0;0.31884058;0.355072464;0.217391304;0.028985507;0.043478261;0.028985507;0.079710145;0;0;0.057971014;0;0.108695652;0.007246377;0.028985507;0.036231884;0.014492754;0.014492754;0.050724638;0.050724638;0.115942029;0.057971014;0;0;0.057971014
g;In;0.002232143;0.014136905;0.002232143;0.502232143;0.217261905;0.21577381;0.033482143;0.01264881;0.870535714;0.061011905;0.068452381;0.002232143;0.011160714;0.00297619;0;0;0.002232143;0.000744048;0.009672619;0.386160714;0.105654762;0;0.057291667;0.159970238;0.000744048;0.209077381;0;0.005952381;0.005952381;0.008928571;0;0.001488095;0.017113095;0;0;0;0.003720238;0;0;0.004464286;0.004464286;0.299107143;0.361607143;0.109375;0.052083333;0.052827381;0.005208333;0.031994048;0.017857143;0.006696429;0.043154762;0.004464286;0.008184524;0;0;0;0.002232143;0.004464286;0.000744048;0;0;0;0
r;Ir;0;0;0.005742726;0.177641654;0.090352221;0.722817764;0.003445636;0;0.517228178;0.239280245;0.243491577;0;0;0;0;0;0.005742726;0.162327718;0.009188361;0.003828484;0.00229709;0;0.06431853;0.026033691;0;0.722817764;0;0;0;0;0;0;0.003445636;0;0;0;0;0;0;0;0;0.161179173;0.146630934;0.182618683;0.037519142;0.094180704;0.004211332;0.028713629;0.004977029;0.004211332;0.333460949;0.00229709;0;0;0;0;0;0;0;0;0;0;0
r;La;0;0;0;0.07826087;0.060869565;0.165217391;0.130434783;0.565217391;0.617391304;0.208695652;0.173913043;0;0;0;0;0;0;0;0;0.052173913;0.026086957;0;0.043478261;0.017391304;0;0.156521739;0;0.008695652;0.060869565;0.008695652;0;0;0.060869565;0.069565217;0.008695652;0;0;0;0;0.234782609;0.252173913;0.408695652;0.086956522;0.008695652;0.043478261;0.060869565;0;0;0.043478261;0;0.095652174;0.017391304;0.034782609;0;0;0;0.026086957;0.052173913;0.095652174;0;0.008695652;0;0.017391304
b;Lu;0;0;0;0.039473684;0.197368421;0.197368421;0.164473684;0.401315789;0.631578947;0.203947368;0.164473684;0;0;0;0;0;0;0;0;0.039473684;0;0;0.092105263;0.105263158;0;0.184210526;0;0.013157895;0.026315789;0.026315789;0;0;0.111842105;0.019736842;0.006578947;0;0.006578947;0;0;0.243421053;0.125;0.230263158;0.144736842;0.184210526;0.059210526;0.039473684;0.013157895;0.019736842;0.026315789;0;0.065789474;0.019736842;0.039473684;0;0;0.013157895;0.019736842;0.059210526;0.052631579;0;0;0;0.013157895
